2000-01-03T17:29:52.402     -23.27    172.30   -336.98    379.19  -1.89507 -12.71594  -0.80434
2000-01-03T17:29:52.735     -23.22    172.28   -336.98    379.18  -1.89487 -12.71357  -0.80435
2000-01-03T17:29:53.069     -23.48    172.39   -337.05    379.31  -1.89467 -12.71119  -0.80437
2000-01-03T17:29:53.402     -23.61    172.58   -336.96    379.32  -1.89448 -12.70881  -0.80439
2000-01-03T17:29:53.735     -23.73    172.68   -336.99    379.40  -1.89428 -12.70644  -0.80441
2000-01-03T17:29:54.069     -23.81    172.73   -336.89    379.33  -1.89409 -12.70405  -0.80443
2000-01-03T17:29:54.402     -24.02    172.88   -336.96    379.48  -1.89389 -12.70168  -0.80445
2000-01-03T17:29:54.735     -24.01    172.86   -337.13    379.63  -1.89370 -12.69930  -0.80447
2000-01-03T17:29:55.069     -23.81    172.81   -337.25    379.69  -1.89350 -12.69692  -0.80449
2000-01-03T17:29:55.402     -23.68    172.80   -337.31    379.74  -1.89331 -12.69455  -0.80450
2000-01-03T17:29:55.735     -23.65    172.79   -337.40    379.82  -1.89311 -12.69217  -0.80452
2000-01-03T17:29:56.069     -23.45    172.62   -337.43    379.74  -1.89291 -12.68979  -0.80454
2000-01-03T17:29:56.402     -23.35    172.62   -337.46    379.76  -1.89272 -12.68742  -0.80456
2000-01-03T17:29:56.735     -23.30    172.57   -337.42    379.70  -1.89252 -12.68504  -0.80458
2000-01-03T17:29:57.069     -23.14    172.48   -337.48    379.71  -1.89233 -12.68266  -0.80460
2000-01-03T17:29:57.402     -23.15    172.53   -337.28    379.55  -1.89213 -12.68028  -0.80462
2000-01-03T17:29:57.735     -23.04    172.51   -337.31    379.56  -1.89194 -12.67791  -0.80464
2000-01-03T17:29:58.069     -23.06    172.60   -337.20    379.51  -1.89174 -12.67553  -0.80466
2000-01-03T17:29:58.402     -23.23    172.75   -337.08    379.48  -1.89155 -12.67315  -0.80467
2000-01-03T17:29:58.735     -23.39    173.04   -337.08    379.62  -1.89135 -12.67078  -0.80469
2000-01-03T17:29:59.069     -23.41    173.18   -337.04    379.65  -1.89115 -12.66840  -0.80471
2000-01-03T17:29:59.402     -23.59    173.27   -337.07    379.73  -1.89096 -12.66602  -0.80473
2000-01-03T17:29:59.735     -23.44    173.24   -337.11    379.75  -1.89076 -12.66365  -0.80475
